Province,District,moh_area,week,cases,avg_temperature_2m_mean,avg_temperature_2m_max,avg_temperature_2m_min,avg_precipitation_sum,avg_relative_humidity_2m_mean
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,1,5,25.88630867,28.27857018,23.9642849,7.62857151,87.35742188
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,2,3,25.95595169,28.04285812,24.2857151,16.32857132,82.07137299
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,3,8,25.66279793,28.63571358,22.8214283,2.471428633,83.07988739
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,4,11,26.67470169,29.4642849,23.37857056,0.7428570986,72.72145844
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,5,4,26.04642868,29.22857285,23.54285812,6.642857075,86.89940643
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,6,3,27.08244133,29.63571358,24.37857056,0.8857142329,73.09284973
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,7,5,27.39345169,29.87857056,25.1785717,2.771428585,78.92794037
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,8,1,27.47053528,30.72142982,24.3928566,0.6000000238,77.9595108
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,9,4,27.55803871,30.40714455,25.11428642,1.985714316,76.65024567
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,10,4,27.09375,31.50714302,23.00714302,0.07142857462,76.44051361
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,11,4,28.05059433,31.87142944,24.07857132,0.02857142873,72.98697662
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,12,6,27.65654564,31.05000114,24.12857246,2.971428394,78.66326904
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,13,2,27.60029602,30.75,24.43571472,5.871428967,82.35661316
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,14,2,29.01577377,32.48571396,25.68571472,0.7714285851,78.51744843
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,15,2,28.07351303,31.33571434,25.02142715,8.800000191,80.45875549
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,16,1,28.5273838,31.50714302,25.1428566,1.485714197,82.32141113
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,17,4,29.48690605,33.18571472,25.75,0.4285714328,77.06175232
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,18,0,30.08184624,34.17142868,26.61428642,1.385714293,76.41841888
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,19,0,29.62767982,33.45714188,26.33571434,2.642857075,77.2610321
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,20,2,27.68214417,31.5714283,25.02857018,16.68571472,86.52477264
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,21,1,28.8922596,33.1071434,26.00714302,4.214285851,76.83390045
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,22,2,29.26309395,33.61428452,25.98571396,2.32857132,78.54999542
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,23,2,29.10000038,33.54999924,26.05714226,1.814285636,73.76646423
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,24,0,29.88244057,34.77857208,26.1428566,0.7857142687,69.05110931
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,25,2,30.01666641,35.15000153,26.40714455,2.599999905,65.95989227
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,26,1,29.88571548,35.12142563,26.12142944,0.7142857313,66.85608673
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,27,2,29.22857094,34.11428452,26.05714226,3.828571558,73.53410339
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,28,0,29.15297508,33.52857208,25.7142849,2.128571272,72.74723053
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,29,3,30.77083015,36.19285965,26.22142982,0.01428571437,59.37930298
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,30,0,30.81011963,36.2857132,26.52857018,1.299999952,63.14511871
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,31,1,29.54732132,33.84285736,26.37857056,2.04285717,69.94290924
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,32,0,28.09642601,32.02142715,25.1428566,3,80.00800323
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,33,2,28.07261848,31.91428566,25.23571396,6.900000095,78.40907288
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,34,4,28.4113102,32.5357132,25.49285698,2.657142878,73.9101181
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,35,0,29.0574398,34.79285812,25.68571472,3.028571606,68.27015686
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,36,1,29.4407711,34.70000076,25.59285545,2.214285612,68.73555756
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,37,0,30.125,35.80714035,26.19285774,2.571428537,66.17919159
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,38,1,29.62708473,34.92142868,25.22857285,1.128571391,66.65376282
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,39,0,29.12142754,33.97142792,25.5,3.842856884,72.50405121
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,40,1,28.47678566,32.81428528,25.4285717,3.828571796,75.55821228
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,41,0,26.12619019,29.47857285,24.09285545,14.38571358,88.01707458
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,42,0,27.00595284,30.63571358,24.20714188,5.37142849,85.1138916
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,43,0,26.47291565,30.20714188,23.91428566,14.97142887,87.43874359
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,44,0,26.26309395,29.86428642,23.79285812,13.71428585,88.44327545
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,45,0,26.23690414,29.76428604,23.64999962,6.085714817,84.53156281
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,46,3,26.63571358,29.65714455,23.98571587,7.414286137,85.26256561
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,47,2,25.82648849,28.87857056,23.50714302,15.17142963,87.86238098
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,48,1,25.69047546,28.2857151,23.55000114,39.1428566,86.19554138
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,49,1,26.40476418,29.1428566,23.65714455,0.5857143402,83.31578827
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,50,0,25.90297508,28.8214283,23.7857151,9.500000954,85.88018036
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,51,1,25.84255981,29.05714226,23.52857018,17,89.42457581
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,52,1,25.78333473,28.8571434,23.07857132,2.700000286,86.5841217
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,53,0,25.12395859,27.20000076,23.875,30.85000038,91.63002777
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,54,2,25.44881,27.83571,23.22857,8.185715,80.70685
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,55,1,24.99553,27.00714,23.44286,23.02857,90.44703
